Sample Day,Ctrl,Ctrl StDev,Gox,Gox StDev,Sd,Sd StDev,Ps,Ps StDev,Pulp Density
0,10.04063333,0.362117831,19.6015,1.09905503,12.63526667,0.335010005,14.16883333,3.213066673,1
1,21.85296667,0.327585185,346.3301667,2.261772359,35.4372,0.39263916,34.43223333,0.069497506,1
2,21.45146667,0.952361351,601.7376,10.88746362,39.27746667,1.203486462,74.98603333,9.104484129,1
3,24.46366667,0.584981558,767.1791667,35.68979727,39.63786667,0.309658947,216.6743333,8.733546588,1
4,22.46256667,0.904293428,867.2064333,24.59312742,48.7445,2.447954658,368.7332333,27.33059765,1
5,21.92113333,0.292791126,1063.299767,52.00259492,64.17833333,20.57953345,487.3653333,25.79520968,1
0,12.91993333,0.204964834,27.82643333,2.560548442,13.53303333,0.125356186,15.22676667,0.999415961,2
1,20.42153333,0.294580928,512.8124667,58.63890836,33.68353333,2.078383137,39.43416667,5.393860241,2
2,22.9233,0.657621859,952.3676667,55.9684092,44.73086667,2.057028878,135.0164333,51.01989886,2
3,25.30146667,0.723249226,1324.441167,33.87438727,54.64386667,1.377260398,417.6889,44.91031328,2
4,26.77783333,1.32498336,1689.4612,38.93927502,60.27886667,0.622064726,762.1813333,18.04197472,2
5,26.58456667,0.712254634,1973.004233,48.85902442,73.30956667,1.892265955,907.0775,14.93326745,2
0,13.31713333,0.680744771,33.60826667,0.249374865,14.93116667,0.374955255,18.4368,0.785979637,3
1,23.94633333,0.456411178,762.8285333,41.99996589,39.2585,2.968809191,44.5123,1.741385873,3
2,28.44463333,0.327231727,1573.0204,75.19900481,49.7793,3.807609314,77.34616667,1.192568742,3
3,37.19056667,1.575419437,2143.529533,104.6473209,55.6028,1.989276876,223.9019,36.64581954,3
4,59.04106667,0.754799711,2611.046167,83.65499277,88.2497,4.19740189,452.4305,51.97652187,3
5,56.13916667,0.7490494,3130.4823,64.85179564,99.49896667,3.123009373,628.8596667,44.56729101,3
