Sample Day,Ctrl,Ctrl StDev,Gox,Gox StDev,Sd,Sd StDev,Ps,Ps StDev,Pulp Density
0,0.717566667,0.055830577,0.779333333,0.023559358,0.6559,0.01026304,0.6221,0.006819824,1
1,0.6114,0.007202777,4.186,0.050509504,0.790866667,0.009473296,0.9144,0.140067983,1
2,0.607766667,0.015885003,6.677966667,0.097380919,0.8542,0.00736546,1.346766667,0.182752082,1
3,0.5418,0.013355149,8.326233333,0.392433132,0.8755,0.003364521,2.825666667,0.099902019,1
4,0.549333333,0.022738587,9.368466667,0.320175832,1.056866667,0.02943541,4.428133333,0.274773294,1
5,0.5197,0.012569407,10.99333333,0.57331353,1.2175,0.240141104,5.650366667,0.229811539,1
0,0.530366667,0.001011599,0.708966667,0.03654235,0.5412,0.011781766,0.5613,0.023520417,2
1,0.546766667,0.009950042,6.180266667,0.59433612,0.8809,0.033607142,0.881066667,0.081319452,2
2,0.492033333,0.006715902,10.4119,0.59212741,1.039533333,0.064200104,2.080033333,0.5800575,2
3,0.496833333,0.013423984,13.45246667,0.343962096,1.220266667,0.016115934,4.7458,0.520990988,2
4,0.457266667,0.015726517,17.00013333,0.28679631,1.293433333,0.009016282,8.5877,0.16814577,2
5,0.411933333,0.018151125,19.5341,0.671428112,1.4864,0.026890333,9.9939,0.076189041,2
0,0.349566667,0.004050103,0.318633333,0.006381484,2.665333333,0.143678194,2.277033333,0.137459897,3
1,1.9052,0.142550026,9.8495,0.308581869,1.998566667,0.073470153,1.827466667,0.147739647,3
2,1.346,0.174090178,17.99123333,0.935737449,2.021066667,0.044814432,2.579633333,0.160801441,3
3,1.546966667,0.13704526,24.05423333,1.150574736,1.9647,0.089168212,6.086366667,4.423895353,3
4,1.149166667,0.0381487,28.4285,1.062443274,2.065666667,0.033342066,6.0634,0.464261317,3
5,1.010966667,0.020810174,33.4231,0.615301422,2.081666667,0.084538887,7.620466667,0.362814778,3
