Sample Day,pH,pH StDev,Mg,Mg StDev,Pulp Density
0,7.233333333,0.106926766,14.16883333,3.213066673,1
1,6.776666667,0.023094011,34.43223333,0.069497506,1
2,4.65,0.07,74.98603333,9.104484129,1
3,3.88,0.075498344,216.6743333,8.733546588,1
4,3.753333333,0.032145503,368.7332333,27.33059765,1
5,3.763333333,0.028867513,487.3653333,25.79520968,1
0,7.586666667,0.115902258,15.22676667,0.999415961,2
1,7.1,0.29866369,39.43416667,5.393860241,2
2,4.716666667,0.168621865,135.0164333,51.01989886,2
3,4.293333333,0.045092498,398.2879667,48.49020612,2
4,4.126666667,0.030550505,762.1813333,18.04197472,2
5,4.08,0.036055513,907.0775,14.93326745,2
0,7.676666667,0.068068593,18.4368,0.785979637,3
1,7.433333333,0.011547005,44.5123,1.741385873,3
2,6.326666667,0.246644143,77.34616667,1.192568742,3
3,5.26,0.04,223.9019,36.64581954,3
4,4.443333333,0.030550505,452.4305,51.97652187,3
5,4.463333333,0.04163332,628.8596667,44.56729101,3
